pdq,Spdq,aic
"(1, 0, 0)","(2, 2, 0, 36)",1178.0510145991113
"(2, 0, 0)","(2, 2, 1, 36)",1179.2909597757186
"(1, 0, 1)","(2, 2, 0, 36)",1179.6853202575849
"(1, 0, 0)","(2, 2, 1, 36)",1180.0445820606826
"(2, 0, 1)","(2, 2, 0, 36)",1180.810862650177
"(2, 0, 0)","(2, 2, 2, 36)",1181.290823462884
"(1, 0, 1)","(2, 2, 1, 36)",1181.6813625389348
"(1, 0, 0)","(2, 2, 2, 36)",1182.0446083817203
"(2, 0, 0)","(1, 2, 2, 36)",1182.1529683074596
"(2, 0, 0)","(1, 2, 1, 36)",1182.2332320886176
"(1, 0, 0)","(1, 2, 1, 36)",1182.693202367752
"(1, 0, 0)","(1, 2, 2, 36)",1182.7435882089874
"(2, 0, 1)","(2, 2, 1, 36)",1182.804761362781
"(1, 0, 1)","(2, 2, 2, 36)",1183.6813032888706
"(1, 0, 1)","(1, 2, 1, 36)",1184.363760398685
"(1, 0, 1)","(1, 2, 2, 36)",1184.3964627838168
"(2, 2, 0)","(0, 2, 0, 36)",1184.5011904558885
"(2, 0, 1)","(2, 2, 2, 36)",1184.820425630537
"(1, 0, 2)","(2, 2, 0, 36)",1184.9596783271459
"(2, 0, 2)","(2, 2, 0, 36)",1185.271214532088
"(2, 0, 1)","(1, 2, 1, 36)",1185.4936662697123
"(2, 0, 1)","(1, 2, 2, 36)",1185.5179175760823
"(2, 0, 0)","(0, 2, 2, 36)",1185.744102541978
"(1, 0, 0)","(0, 2, 2, 36)",1186.2187977235874
"(1, 0, 0)","(1, 2, 0, 36)",1186.687136619707
"(1, 2, 0)","(0, 2, 0, 36)",1186.699766741918
"(2, 0, 0)","(1, 2, 0, 36)",1186.7650604748208
"(2, 0, 2)","(2, 2, 1, 36)",1187.2703806020638
"(1, 0, 1)","(0, 2, 2, 36)",1187.7300792540723
"(2, 0, 1)","(0, 2, 2, 36)",1188.9221244574055
"(1, 0, 2)","(2, 2, 2, 36)",1188.956118251205
"(2, 1, 2)","(0, 2, 0, 36)",1189.1012123430612
"(1, 0, 2)","(1, 2, 1, 36)",1189.2212311094847
"(2, 0, 2)","(2, 2, 2, 36)",1189.2698414149472
"(1, 0, 2)","(1, 2, 2, 36)",1189.4277566352332
"(2, 0, 1)","(1, 2, 0, 36)",1189.5483134584542
"(2, 0, 2)","(1, 2, 1, 36)",1189.6779598751884
"(2, 0, 2)","(1, 2, 2, 36)",1190.0343212110427
"(2, 1, 1)","(0, 2, 0, 36)",1191.0408382921778
"(1, 1, 0)","(0, 2, 0, 36)",1191.5006653827445
"(0, 1, 1)","(0, 2, 0, 36)",1191.5596033075437
"(2, 0, 0)","(0, 2, 1, 36)",1191.8834595332787
"(1, 0, 2)","(0, 2, 2, 36)",1192.5515923257396
"(1, 0, 0)","(0, 2, 1, 36)",1192.5522823612678
"(1, 0, 2)","(1, 2, 0, 36)",1192.6413469893312
"(2, 0, 2)","(0, 2, 2, 36)",1192.9338444254802
"(2, 0, 2)","(1, 2, 0, 36)",1193.2854325189373
"(2, 1, 0)","(0, 2, 0, 36)",1193.4066074421266
"(1, 0, 1)","(0, 2, 1, 36)",1193.438447278106
"(0, 1, 2)","(0, 2, 0, 36)",1193.535888580141
"(1, 1, 1)","(0, 2, 0, 36)",1193.5577370408325
"(2, 0, 1)","(0, 2, 1, 36)",1194.835989344771
"(1, 1, 2)","(0, 2, 0, 36)",1195.604755251786
"(0, 1, 0)","(0, 2, 0, 36)",1197.1280151184635
"(1, 0, 2)","(0, 2, 1, 36)",1197.7460723413108
"(0, 2, 0)","(0, 2, 0, 36)",1197.7969668663995
"(2, 0, 2)","(0, 2, 1, 36)",1198.3426159633539
"(2, 0, 0)","(0, 2, 0, 36)",1213.0355011224292
"(2, 0, 1)","(0, 2, 0, 36)",1213.120084275645
"(1, 0, 1)","(0, 2, 0, 36)",1213.8148006383162
"(1, 0, 0)","(0, 2, 0, 36)",1215.2247699784564
