,pdq,Spdq,aic
1614,"(5, 3, 4)","(0, 0, 0, 12)",2116.9593357917724
728,"(2, 3, 1)","(0, 0, 0, 12)",2117.1098939449384
164,"(0, 3, 2)","(1, 0, 0, 12)",2117.168404037124
161,"(0, 3, 2)","(0, 0, 1, 12)",2117.168947663903
764,"(2, 3, 5)","(1, 0, 1, 12)",2117.1732997933996
1040,"(3, 3, 4)","(0, 0, 1, 12)",2117.305829215466
1319,"(4, 3, 3)","(0, 0, 1, 12)",2117.354731926424
180,"(0, 3, 4)","(1, 0, 0, 12)",2117.48318953682
177,"(0, 3, 4)","(0, 0, 1, 12)",2117.4834112883914
172,"(0, 3, 3)","(1, 0, 0, 12)",2117.543375373875
169,"(0, 3, 3)","(0, 0, 1, 12)",2117.543539749683
1043,"(3, 3, 4)","(1, 0, 0, 12)",2117.6484908101206
444,"(1, 3, 1)","(1, 0, 0, 12)",2117.765807934179
441,"(1, 3, 1)","(0, 0, 1, 12)",2117.7658122604894
468,"(1, 3, 4)","(1, 0, 0, 12)",2117.8980330752497
465,"(1, 3, 4)","(0, 0, 1, 12)",2117.909047357266
1326,"(4, 3, 4)","(0, 0, 0, 12)",2117.963537751762
460,"(1, 3, 3)","(1, 0, 0, 12)",2118.172965684592
457,"(1, 3, 3)","(0, 0, 1, 12)",2118.1823890356045
748,"(2, 3, 3)","(1, 0, 0, 12)",2118.2305630824844
184,"(0, 3, 5)","(0, 0, 0, 12)",2118.2493132695704
472,"(1, 3, 5)","(0, 0, 0, 12)",2118.389522988899
1607,"(5, 3, 3)","(0, 0, 1, 12)",2118.652779704701
740,"(2, 3, 2)","(1, 0, 0, 12)",2118.656175995526
737,"(2, 3, 2)","(0, 0, 1, 12)",2118.666025391141
1023,"(3, 3, 2)","(0, 0, 0, 12)",2118.688063154938
453,"(1, 3, 2)","(1, 0, 1, 12)",2118.6907618106784
1619,"(5, 3, 4)","(1, 0, 1, 12)",2118.775802670244
530,"(1, 5, 0)","(0, 1, 0, 12)",2118.779423130033
1327,"(4, 3, 4)","(0, 0, 1, 12)",2118.8815360131257
165,"(0, 3, 2)","(1, 0, 1, 12)",2118.9366924206465
1610,"(5, 3, 3)","(1, 0, 0, 12)",2119.071318189457
1015,"(3, 3, 1)","(0, 0, 0, 12)",2119.094047782479
310,"(1, 0, 2)","(1, 1, 0, 12)",2119.09483988215
732,"(2, 3, 1)","(1, 0, 0, 12)",2119.1077981486496
729,"(2, 3, 1)","(0, 0, 1, 12)",2119.1079477246067
1330,"(4, 3, 4)","(1, 0, 0, 12)",2119.1094809153897
181,"(0, 3, 4)","(1, 0, 1, 12)",2119.203646252825
1031,"(3, 3, 3)","(0, 0, 0, 12)",2119.2205663067184
1662,"(5, 4, 4)","(0, 0, 0, 12)",2119.295890206844
173,"(0, 3, 3)","(1, 0, 1, 12)",2119.350369533662
318,"(1, 0, 3)","(1, 1, 0, 12)",2119.3673702924752
1334,"(4, 3, 5)","(0, 0, 0, 12)",2119.479238240451
469,"(1, 3, 4)","(1, 0, 1, 12)",2119.5429945290243
445,"(1, 3, 1)","(1, 0, 1, 12)",2119.5548511345182
461,"(1, 3, 3)","(1, 0, 1, 12)",2119.8422222908603
749,"(2, 3, 3)","(1, 0, 1, 12)",2119.981564732396
1039,"(3, 3, 4)","(0, 0, 0, 12)",2120.1534760118707
756,"(2, 3, 4)","(1, 0, 0, 12)",2120.1682507831492
476,"(1, 3, 5)","(1, 0, 0, 12)",2120.2031696150143
473,"(1, 3, 5)","(0, 0, 1, 12)",2120.2183283550135
188,"(0, 3, 5)","(1, 0, 0, 12)",2120.2462024449183
185,"(0, 3, 5)","(0, 0, 1, 12)",2120.2464160426225
1323,"(4, 3, 3)","(1, 0, 1, 12)",2120.3399128851624
741,"(2, 3, 2)","(1, 0, 1, 12)",2120.3470457481967
1310,"(4, 3, 2)","(0, 0, 0, 12)",2120.499626102327
1024,"(3, 3, 2)","(0, 0, 1, 12)",2120.5067139559155
1027,"(3, 3, 2)","(1, 0, 0, 12)",2120.563348005836
392,"(1, 2, 1)","(0, 0, 0, 12)",2120.6448507324267
733,"(2, 3, 1)","(1, 0, 1, 12)",2120.8698057392253
1036,"(3, 3, 3)","(1, 0, 1, 12)",2120.8707549352343
1302,"(4, 3, 1)","(0, 0, 0, 12)",2120.8821109212745
1590,"(5, 3, 1)","(0, 0, 0, 12)",2121.043904296686
753,"(2, 3, 4)","(0, 0, 1, 12)",2121.047015691286
1019,"(3, 3, 1)","(1, 0, 0, 12)",2121.0916753939327
1016,"(3, 3, 1)","(0, 0, 1, 12)",2121.091851050295
1047,"(3, 3, 5)","(0, 0, 0, 12)",2121.50490039698
1666,"(5, 4, 4)","(1, 0, 0, 12)",2121.5224679756825
967,"(3, 2, 1)","(0, 0, 0, 12)",2121.650202190167
1457,"(5, 0, 2)","(0, 1, 1, 12)",2121.7362304291673
1448,"(5, 0, 1)","(0, 1, 0, 12)",2121.826937350503
1598,"(5, 3, 2)","(0, 0, 0, 12)",2121.8387851507305
1382,"(4, 4, 5)","(0, 0, 0, 12)",2121.8460681116294
477,"(1, 3, 5)","(1, 0, 1, 12)",2121.9076038433955
512,"(1, 4, 4)","(0, 0, 0, 12)",2121.937630354244
189,"(0, 3, 5)","(1, 0, 1, 12)",2122.0030922950245
408,"(1, 2, 3)","(0, 0, 0, 12)",2122.035259281683
1663,"(5, 4, 4)","(0, 0, 1, 12)",2122.0370923177697
1035,"(3, 3, 3)","(1, 0, 0, 12)",2122.1823993334833
1032,"(3, 3, 3)","(0, 0, 1, 12)",2122.18391401636
1028,"(3, 3, 2)","(1, 0, 1, 12)",2122.253710598836
224,"(0, 4, 4)","(0, 0, 0, 12)",2122.309361814847
1314,"(4, 3, 2)","(1, 0, 0, 12)",2122.354162325757
1311,"(4, 3, 2)","(0, 0, 1, 12)",2122.3659048696536
1282,"(4, 2, 4)","(1, 0, 0, 12)",2122.6763262366076
1051,"(3, 3, 5)","(1, 0, 0, 12)",2122.8148696496155
1020,"(3, 3, 1)","(1, 0, 1, 12)",2122.8643175122916
1254,"(4, 2, 1)","(0, 0, 0, 12)",2122.87714903379
1306,"(4, 3, 1)","(1, 0, 0, 12)",2122.879852923276
1303,"(4, 3, 1)","(0, 0, 1, 12)",2122.8800049114957
1594,"(5, 3, 1)","(1, 0, 0, 12)",2123.033032888906
1591,"(5, 3, 1)","(0, 0, 1, 12)",2123.0337409249496
1542,"(5, 2, 1)","(0, 0, 0, 12)",2123.0932860696053
396,"(1, 2, 1)","(1, 0, 0, 12)",2123.116888597621
393,"(1, 2, 1)","(0, 0, 1, 12)",2123.117492842383
302,"(1, 0, 1)","(1, 1, 0, 12)",2123.159627541772
416,"(1, 2, 4)","(0, 0, 0, 12)",2123.287966052472
96,"(0, 2, 0)","(0, 0, 0, 12)",2123.3235298658465
520,"(1, 4, 5)","(0, 0, 0, 12)",2123.33862615458
1667,"(5, 4, 4)","(1, 0, 1, 12)",2123.341858536857
1048,"(3, 3, 5)","(0, 0, 1, 12)",2123.355838254739
1566,"(5, 2, 4)","(0, 0, 0, 12)",2123.556736630766
1335,"(4, 3, 5)","(0, 0, 1, 12)",2123.5784136769953
975,"(3, 2, 2)","(0, 0, 0, 12)",2123.587512732699
968,"(3, 2, 1)","(0, 0, 1, 12)",2123.6197594555483
1574,"(5, 2, 5)","(0, 0, 0, 12)",2123.640217236092
1602,"(5, 3, 2)","(1, 0, 0, 12)",2123.657014125881
1599,"(5, 3, 2)","(0, 0, 1, 12)",2123.670536648342
1044,"(3, 3, 4)","(1, 0, 1, 12)",2123.7386592200846
1550,"(5, 2, 2)","(0, 0, 0, 12)",2123.8371547643465
1331,"(4, 3, 4)","(1, 0, 1, 12)",2123.980457687934
696,"(2, 2, 3)","(0, 0, 0, 12)",2123.9812021603007
412,"(1, 2, 3)","(1, 0, 0, 12)",2124.017989347668
409,"(1, 2, 3)","(0, 0, 1, 12)",2124.020329125362
1615,"(5, 3, 4)","(0, 0, 1, 12)",2124.0399732632395
1315,"(4, 3, 2)","(1, 0, 1, 12)",2124.0751384135024
216,"(0, 4, 3)","(0, 0, 0, 12)",2124.100735963172
1278,"(4, 2, 4)","(0, 0, 0, 12)",2124.145321771518
424,"(1, 2, 5)","(0, 0, 0, 12)",2124.1664201650183
1088,"(3, 4, 4)","(0, 0, 1, 12)",2124.1733214256637
1374,"(4, 4, 4)","(0, 0, 0, 12)",2124.191565088916
516,"(1, 4, 4)","(1, 0, 0, 12)",2124.193913444507
228,"(0, 4, 4)","(1, 0, 0, 12)",2124.2362082394543
225,"(0, 4, 4)","(0, 0, 1, 12)",2124.2416869310555
1262,"(4, 2, 2)","(0, 0, 0, 12)",2124.335534572567
1339,"(4, 3, 5)","(1, 0, 1, 12)",2124.370542845371
1338,"(4, 3, 5)","(1, 0, 0, 12)",2124.3977066321295
987,"(3, 2, 3)","(1, 0, 0, 12)",2124.433314555776
513,"(1, 4, 4)","(0, 0, 1, 12)",2124.468483564041
1378,"(4, 4, 4)","(1, 0, 0, 12)",2124.5806463481304
1449,"(5, 0, 1)","(0, 1, 1, 12)",2124.581050390206
1570,"(5, 2, 4)","(1, 0, 0, 12)",2124.6236829618024
1279,"(4, 2, 4)","(0, 0, 1, 12)",2124.63069409831
1375,"(4, 4, 4)","(0, 0, 1, 12)",2124.705865448861
1307,"(4, 3, 1)","(1, 0, 1, 12)",2124.723578876003
1595,"(5, 3, 1)","(1, 0, 1, 12)",2124.783316557458
983,"(3, 2, 3)","(0, 0, 0, 12)",2124.820835753316
1258,"(4, 2, 1)","(1, 0, 0, 12)",2124.8365510586727
984,"(3, 2, 3)","(0, 0, 1, 12)",2124.839023691613
1255,"(4, 2, 1)","(0, 0, 1, 12)",2124.8391075836407
397,"(1, 2, 1)","(1, 0, 1, 12)",2124.8541242349975
1283,"(4, 2, 4)","(1, 0, 1, 12)",2124.908549886125
807,"(2, 4, 5)","(0, 0, 0, 12)",2124.9536353651656
1052,"(3, 3, 5)","(1, 0, 1, 12)",2124.957543580075
1546,"(5, 2, 1)","(1, 0, 0, 12)",2124.9902704280526
1611,"(5, 3, 3)","(1, 0, 1, 12)",2124.993877430216
1543,"(5, 2, 1)","(0, 0, 1, 12)",2124.997011692428
704,"(2, 2, 4)","(0, 0, 0, 12)",2125.034347153397
712,"(2, 2, 5)","(0, 0, 0, 12)",2125.079098061205
420,"(1, 2, 4)","(1, 0, 0, 12)",2125.2654647030686
417,"(1, 2, 4)","(0, 0, 1, 12)",2125.26690835231
384,"(1, 2, 0)","(0, 0, 0, 12)",2125.3046397663497
524,"(1, 4, 5)","(1, 0, 0, 12)",2125.305539220144
104,"(0, 2, 1)","(0, 0, 0, 12)",2125.3174665953957
1092,"(3, 4, 4)","(1, 0, 1, 12)",2125.330699279598
979,"(3, 2, 2)","(1, 0, 0, 12)",2125.3816066647864
1603,"(5, 3, 2)","(1, 0, 1, 12)",2125.394618139522
976,"(3, 2, 2)","(0, 0, 1, 12)",2125.3968396602218
1554,"(5, 2, 2)","(1, 0, 0, 12)",2125.4212279484177
521,"(1, 4, 5)","(0, 0, 1, 12)",2125.426516563245
1551,"(5, 2, 2)","(0, 0, 1, 12)",2125.4499879683517
1622,"(5, 3, 5)","(0, 0, 0, 12)",2125.4755965264712
100,"(0, 2, 0)","(1, 0, 0, 12)",2125.496912472744
972,"(3, 2, 1)","(1, 0, 1, 12)",2125.6398906600934
413,"(1, 2, 3)","(1, 0, 1, 12)",2125.7047333854302
97,"(0, 2, 0)","(0, 0, 1, 12)",2125.7190964905935
229,"(0, 4, 4)","(1, 0, 1, 12)",2125.781381183528
991,"(3, 2, 4)","(0, 0, 0, 12)",2125.782917502346
700,"(2, 2, 3)","(1, 0, 0, 12)",2125.7942951897835
697,"(2, 2, 3)","(0, 0, 1, 12)",2125.8211709131538
1170,"(4, 0, 2)","(0, 1, 1, 12)",2125.845031226919
1571,"(5, 2, 4)","(1, 0, 1, 12)",2125.8574997652363
1654,"(5, 4, 3)","(0, 0, 0, 12)",2126.036365308377
1567,"(5, 2, 4)","(0, 0, 1, 12)",2126.059727949547
428,"(1, 2, 5)","(1, 0, 0, 12)",2126.1128464858425
425,"(1, 2, 5)","(0, 0, 1, 12)",2126.116261373096
1266,"(4, 2, 2)","(1, 0, 0, 12)",2126.1400467356525
1263,"(4, 2, 2)","(0, 0, 1, 12)",2126.154233068599
1558,"(5, 2, 3)","(0, 0, 0, 12)",2126.161858111483
999,"(3, 2, 5)","(0, 0, 0, 12)",2126.3989638813914
865,"(3, 0, 0)","(0, 1, 0, 12)",2126.4146018370907
808,"(2, 4, 5)","(0, 0, 1, 12)",2126.514059655603
1087,"(3, 4, 4)","(0, 0, 0, 12)",2126.53348010446
232,"(0, 4, 5)","(0, 0, 0, 12)",2126.5539740923186
1259,"(4, 2, 1)","(1, 0, 1, 12)",2126.559456918515
672,"(2, 2, 0)","(0, 0, 0, 12)",2126.567699496936
112,"(0, 2, 2)","(0, 0, 0, 12)",2126.624925819809
1547,"(5, 2, 1)","(1, 0, 1, 12)",2126.6951494843015
716,"(2, 2, 5)","(1, 0, 0, 12)",2126.755921233959
713,"(2, 2, 5)","(0, 0, 1, 12)",2126.7782918467196
811,"(2, 4, 5)","(1, 0, 0, 12)",2126.7794986349277
544,"(1, 5, 2)","(0, 0, 0, 12)",2126.795818510755
708,"(2, 2, 4)","(1, 0, 0, 12)",2126.86470503721
705,"(2, 2, 4)","(0, 0, 1, 12)",2126.877171710014
525,"(1, 4, 5)","(1, 0, 1, 12)",2126.990714351122
421,"(1, 2, 4)","(1, 0, 1, 12)",2126.994084357559
101,"(0, 2, 0)","(1, 0, 1, 12)",2127.025571812816
1379,"(4, 4, 4)","(1, 0, 1, 12)",2127.0266235332797
400,"(1, 2, 2)","(0, 0, 0, 12)",2127.078361163349
980,"(3, 2, 2)","(1, 0, 1, 12)",2127.082221938536
680,"(2, 2, 1)","(0, 0, 0, 12)",2127.1166446584134
1623,"(5, 3, 5)","(0, 0, 1, 12)",2127.1308656184983
1626,"(5, 3, 5)","(1, 0, 0, 12)",2127.1790486198647
1555,"(5, 2, 2)","(1, 0, 1, 12)",2127.201046769148
388,"(1, 2, 0)","(1, 0, 0, 12)",2127.3028205492637
385,"(1, 2, 0)","(0, 0, 1, 12)",2127.302937072062
108,"(0, 2, 1)","(1, 0, 0, 12)",2127.315669299846
105,"(0, 2, 1)","(0, 0, 1, 12)",2127.315784348683
1367,"(4, 4, 3)","(0, 0, 1, 12)",2127.321630467119
1079,"(3, 4, 3)","(0, 0, 0, 12)",2127.470025205669
701,"(2, 2, 3)","(1, 0, 1, 12)",2127.523349146082
995,"(3, 2, 4)","(1, 0, 0, 12)",2127.5326974114664
1718,"(5, 5, 5)","(0, 0, 0, 12)",2127.5947076538773
1646,"(5, 4, 2)","(0, 0, 0, 12)",2127.6444770328962
992,"(3, 2, 4)","(0, 0, 1, 12)",2127.6588460873913
1003,"(3, 2, 5)","(1, 0, 0, 12)",2127.665760712846
1562,"(5, 2, 3)","(1, 0, 0, 12)",2127.6890582405135
791,"(2, 4, 3)","(0, 0, 0, 12)",2127.7567628081424
1383,"(4, 4, 5)","(0, 0, 1, 12)",2127.785694510409
1267,"(4, 2, 2)","(1, 0, 1, 12)",2127.815866693359
429,"(1, 2, 5)","(1, 0, 1, 12)",2127.8343480528033
1387,"(4, 4, 5)","(1, 0, 1, 12)",2127.8593228168666
1559,"(5, 2, 3)","(0, 0, 1, 12)",2127.922175241034
1658,"(5, 4, 3)","(1, 0, 0, 12)",2127.974475470697
1000,"(3, 2, 5)","(0, 0, 1, 12)",2128.019739913621
1386,"(4, 4, 5)","(1, 0, 0, 12)",2128.0327794745726
1655,"(5, 4, 3)","(0, 0, 1, 12)",2128.033723787195
1286,"(4, 2, 5)","(0, 0, 0, 12)",2128.15220137056
517,"(1, 4, 4)","(1, 0, 1, 12)",2128.2369949386148
1091,"(3, 4, 4)","(1, 0, 0, 12)",2128.300540449069
1578,"(5, 2, 5)","(1, 0, 0, 12)",2128.3456723666313
548,"(1, 5, 2)","(1, 0, 0, 12)",2128.39669532765
236,"(0, 4, 5)","(1, 0, 0, 12)",2128.4857241458894
233,"(0, 4, 5)","(0, 0, 1, 12)",2128.4906233401916
1370,"(4, 4, 3)","(1, 0, 0, 12)",2128.4968364597494
959,"(3, 2, 0)","(0, 0, 0, 12)",2128.5090094726806
717,"(2, 2, 5)","(1, 0, 1, 12)",2128.535924168857
709,"(2, 2, 4)","(1, 0, 1, 12)",2128.542512633042
676,"(2, 2, 0)","(1, 0, 0, 12)",2128.5587971693985
673,"(2, 2, 0)","(0, 0, 1, 12)",2128.559387752955
988,"(3, 2, 3)","(1, 0, 1, 12)",2128.603980429634
116,"(0, 2, 2)","(1, 0, 0, 12)",2128.616372739761
113,"(0, 2, 2)","(0, 0, 1, 12)",2128.616939692481
120,"(0, 2, 3)","(0, 0, 0, 12)",2128.6780465961965
404,"(1, 2, 2)","(1, 0, 0, 12)",2128.8953733801113
401,"(1, 2, 2)","(0, 0, 1, 12)",2128.9086008290415
1627,"(5, 3, 5)","(1, 0, 1, 12)",2128.9348245266156
684,"(2, 2, 1)","(1, 0, 0, 12)",2128.936467866686
681,"(2, 2, 1)","(0, 0, 1, 12)",2128.9494788313636
688,"(2, 2, 2)","(0, 0, 0, 12)",2129.0104352855815
389,"(1, 2, 0)","(1, 0, 1, 12)",2129.032640502962
109,"(0, 2, 1)","(1, 0, 1, 12)",2129.0488268028744
996,"(3, 2, 4)","(1, 0, 1, 12)",2129.447340793887
1659,"(5, 4, 3)","(1, 0, 1, 12)",2129.52569568086
1722,"(5, 5, 5)","(1, 0, 0, 12)",2129.702786127419
1563,"(5, 2, 3)","(1, 0, 1, 12)",2129.786826682053
1719,"(5, 5, 5)","(0, 0, 1, 12)",2129.7983463995797
1004,"(3, 2, 5)","(1, 0, 1, 12)",2129.8854203677347
855,"(2, 5, 5)","(0, 0, 0, 12)",2129.9951169400083
136,"(0, 2, 5)","(0, 0, 0, 12)",2129.9952490030832
237,"(0, 4, 5)","(1, 0, 1, 12)",2130.0535998784676
1371,"(4, 4, 3)","(1, 0, 1, 12)",2130.0680068369256
1080,"(3, 4, 3)","(0, 0, 1, 12)",2130.090594247621
677,"(2, 2, 0)","(1, 0, 1, 12)",2130.2281808227735
117,"(0, 2, 2)","(1, 0, 1, 12)",2130.2952783448586
294,"(1, 0, 0)","(1, 1, 0, 12)",2130.442532914519
1246,"(4, 2, 0)","(0, 0, 0, 12)",2130.47246671512
963,"(3, 2, 0)","(1, 0, 0, 12)",2130.499695862106
960,"(3, 2, 0)","(0, 0, 1, 12)",2130.5003225757064
128,"(0, 2, 4)","(0, 0, 0, 12)",2130.511152201855
1534,"(5, 2, 0)","(0, 0, 0, 12)",2130.543578277063
405,"(1, 2, 2)","(1, 0, 1, 12)",2130.5487222916768
685,"(2, 2, 1)","(1, 0, 1, 12)",2130.5994503638285
124,"(0, 2, 3)","(1, 0, 0, 12)",2130.6696841544435
121,"(0, 2, 3)","(0, 0, 1, 12)",2130.6702426761176
1440,"(5, 0, 0)","(0, 1, 0, 12)",2130.78405269642
692,"(2, 2, 2)","(1, 0, 0, 12)",2130.8214391232173
689,"(2, 2, 2)","(0, 0, 1, 12)",2130.8350830013087
1083,"(3, 4, 3)","(1, 0, 0, 12)",2131.0121531896248
209,"(0, 4, 2)","(0, 0, 1, 12)",2131.0200087281705
1290,"(4, 2, 5)","(1, 0, 0, 12)",2131.051054693576
1084,"(3, 4, 3)","(1, 0, 1, 12)",2131.0881083087243
622,"(2, 0, 5)","(1, 1, 0, 12)",2131.1156839254672
792,"(2, 4, 3)","(0, 0, 1, 12)",2131.4214313970106
795,"(2, 4, 3)","(1, 0, 0, 12)",2131.46896734658
859,"(2, 5, 5)","(1, 0, 0, 12)",2131.5547883675886
1723,"(5, 5, 5)","(1, 0, 1, 12)",2131.6674034697608
1291,"(4, 2, 5)","(1, 0, 1, 12)",2131.9233192708775
140,"(0, 2, 5)","(1, 0, 0, 12)",2131.969964086168
137,"(0, 2, 5)","(0, 0, 1, 12)",2131.971524995167
1287,"(4, 2, 5)","(0, 0, 1, 12)",2132.0521775485527
964,"(3, 2, 0)","(1, 0, 1, 12)",2132.160242533908
1275,"(4, 2, 3)","(1, 0, 1, 12)",2132.18528628763
1095,"(3, 4, 5)","(0, 0, 0, 12)",2132.1973976232634
1575,"(5, 2, 5)","(0, 0, 1, 12)",2132.333799620435
125,"(0, 2, 3)","(1, 0, 1, 12)",2132.3493780334284
693,"(2, 2, 2)","(1, 0, 1, 12)",2132.4554060052474
1250,"(4, 2, 0)","(1, 0, 0, 12)",2132.46437419185
1247,"(4, 2, 0)","(0, 0, 1, 12)",2132.4649175238615
132,"(0, 2, 4)","(1, 0, 0, 12)",2132.503592342732
129,"(0, 2, 4)","(0, 0, 1, 12)",2132.5041002308394
971,"(3, 2, 1)","(1, 0, 0, 12)",2132.5058974917706
1538,"(5, 2, 0)","(1, 0, 0, 12)",2132.5193661121934
1535,"(5, 2, 0)","(0, 0, 1, 12)",2132.520918091671
578,"(2, 0, 0)","(0, 1, 0, 12)",2132.545553146898
1270,"(4, 2, 3)","(0, 0, 0, 12)",2132.8218451594926
1096,"(3, 4, 5)","(0, 0, 1, 12)",2133.0905991512454
812,"(2, 4, 5)","(1, 0, 1, 12)",2133.2329794922075
856,"(2, 5, 5)","(0, 0, 1, 12)",2133.2343986697474
217,"(0, 4, 3)","(0, 0, 1, 12)",2133.3222809931713
1579,"(5, 2, 5)","(1, 0, 1, 12)",2133.357636644227
796,"(2, 4, 3)","(1, 0, 1, 12)",2133.4461715571824
220,"(0, 4, 3)","(1, 0, 0, 12)",2133.653400676071
141,"(0, 2, 5)","(1, 0, 1, 12)",2133.6742026776997
1650,"(5, 4, 2)","(1, 0, 0, 12)",2133.776924832707
1710,"(5, 5, 4)","(0, 0, 0, 12)",2133.9932580286686
1251,"(4, 2, 0)","(1, 0, 1, 12)",2134.1287655421856
133,"(0, 2, 4)","(1, 0, 1, 12)",2134.170445790301
1539,"(5, 2, 0)","(1, 0, 1, 12)",2134.176186353571
208,"(0, 4, 2)","(0, 0, 0, 12)",2134.2242812936083
1271,"(4, 2, 3)","(0, 0, 1, 12)",2134.229478853269
1274,"(4, 2, 3)","(1, 0, 0, 12)",2134.31970114185
1647,"(5, 4, 2)","(0, 0, 1, 12)",2134.7249531760726
1422,"(4, 5, 4)","(0, 0, 0, 12)",2134.7424474937757
799,"(2, 4, 4)","(0, 0, 0, 12)",2134.8060136039094
1714,"(5, 5, 4)","(1, 0, 0, 12)",2134.8246772324155
1099,"(3, 4, 5)","(1, 0, 0, 12)",2135.0824851817797
221,"(0, 4, 3)","(1, 0, 1, 12)",2135.1188367739705
1711,"(5, 5, 4)","(0, 0, 1, 12)",2135.2980564300847
504,"(1, 4, 3)","(0, 0, 0, 12)",2136.0298533205787
488,"(1, 4, 1)","(0, 0, 0, 12)",2136.1063072699935
1153,"(4, 0, 0)","(0, 1, 0, 12)",2136.3665630820556
1426,"(4, 5, 4)","(1, 0, 0, 12)",2136.4272762570195
1423,"(4, 5, 4)","(0, 0, 1, 12)",2136.4614771203314
1430,"(4, 5, 5)","(0, 0, 0, 12)",2136.46559552394
1414,"(4, 5, 3)","(0, 0, 0, 12)",2136.4852862476805
1702,"(5, 5, 3)","(0, 0, 0, 12)",2136.543966311849
1715,"(5, 5, 4)","(1, 0, 1, 12)",2136.945633415019
496,"(1, 4, 2)","(0, 0, 0, 12)",2136.9570122175546
1100,"(3, 4, 5)","(1, 0, 1, 12)",2137.0148648408913
1638,"(5, 4, 1)","(0, 0, 0, 12)",2137.018362573145
803,"(2, 4, 4)","(1, 0, 0, 12)",2137.1140149157977
860,"(2, 5, 5)","(1, 0, 1, 12)",2137.3996393647135
1119,"(3, 5, 2)","(0, 0, 0, 12)",2137.5800325956197
1127,"(3, 5, 3)","(0, 0, 0, 12)",2137.582847977542
508,"(1, 4, 3)","(1, 0, 0, 12)",2137.7095867019475
505,"(1, 4, 3)","(0, 0, 1, 12)",2137.73727089157
800,"(2, 4, 4)","(0, 0, 1, 12)",2137.787914264384
213,"(0, 4, 2)","(1, 0, 1, 12)",2137.807660995986
560,"(1, 5, 4)","(0, 0, 0, 12)",2137.868828245153
1434,"(4, 5, 5)","(1, 0, 0, 12)",2138.4654139596164
1427,"(4, 5, 4)","(1, 0, 1, 12)",2138.471855314156
1431,"(4, 5, 5)","(0, 0, 1, 12)",2138.5278982008563
1706,"(5, 5, 3)","(1, 0, 0, 12)",2138.6758788598495
1582,"(5, 3, 0)","(0, 0, 0, 12)",2138.687829319188
1642,"(5, 4, 1)","(1, 0, 0, 12)",2138.874389589748
1639,"(5, 4, 1)","(0, 0, 1, 12)",2138.886297102463
776,"(2, 4, 1)","(0, 0, 1, 12)",2139.0745336292493
509,"(1, 4, 3)","(1, 0, 1, 12)",2139.2186886434247
552,"(1, 5, 3)","(0, 0, 0, 12)",2139.2818255467846
804,"(2, 4, 4)","(1, 0, 1, 12)",2139.3826295293325
831,"(2, 5, 2)","(0, 0, 0, 12)",2139.5404652737284
1120,"(3, 5, 2)","(0, 0, 1, 12)",2139.572317778618
1123,"(3, 5, 2)","(1, 0, 0, 12)",2139.5723380477984
1197,"(4, 0, 5)","(1, 1, 0, 12)",2139.6684950331896
1128,"(3, 5, 3)","(0, 0, 1, 12)",2139.683534583364
1415,"(4, 5, 3)","(0, 0, 1, 12)",2139.8047751728413
1694,"(5, 5, 2)","(0, 0, 0, 12)",2140.05936900824
212,"(0, 4, 2)","(1, 0, 0, 12)",2140.0658850357304
1350,"(4, 4, 1)","(0, 0, 0, 12)",2140.1946309031136
1643,"(5, 4, 1)","(1, 0, 1, 12)",2140.335918467702
1435,"(4, 5, 5)","(1, 0, 1, 12)",2140.4872493789817
1670,"(5, 4, 5)","(0, 0, 0, 12)",2140.4882037643897
564,"(1, 5, 4)","(1, 0, 0, 12)",2140.544993314785
268,"(0, 5, 3)","(1, 0, 0, 12)",2140.5817044807864
1671,"(5, 4, 5)","(0, 0, 1, 12)",2140.5839355342932
561,"(1, 5, 4)","(0, 0, 1, 12)",2140.609834774812
1586,"(5, 3, 0)","(1, 0, 0, 12)",2140.670246928567
1583,"(5, 3, 0)","(0, 0, 1, 12)",2140.6715630000654
1707,"(5, 5, 3)","(1, 0, 1, 12)",2140.7140620994655
1071,"(3, 4, 2)","(0, 0, 0, 12)",2140.970562800221
898,"(3, 0, 4)","(0, 1, 1, 12)",2141.048041488379
1418,"(4, 5, 3)","(1, 0, 0, 12)",2141.2746545821633
1131,"(3, 5, 3)","(1, 0, 0, 12)",2141.3910660250713
783,"(2, 4, 2)","(0, 0, 0, 12)",2141.438937261081
832,"(2, 5, 2)","(0, 0, 1, 12)",2141.5313820452393
1139,"(3, 5, 4)","(1, 0, 0, 12)",2141.5396005664834
1124,"(3, 5, 2)","(1, 0, 1, 12)",2141.5817967734474
1132,"(3, 5, 3)","(1, 0, 1, 12)",2141.71669799391
1445,"(5, 0, 0)","(1, 1, 1, 12)",2141.7857882389662
556,"(1, 5, 3)","(1, 0, 0, 12)",2141.8907896142377
1358,"(4, 4, 2)","(0, 0, 0, 12)",2141.9138883222267
500,"(1, 4, 2)","(1, 0, 0, 12)",2141.9150909421796
1063,"(3, 4, 1)","(0, 0, 0, 12)",2141.919584840909
1695,"(5, 5, 2)","(0, 0, 1, 12)",2141.9250156126614
497,"(1, 4, 2)","(0, 0, 1, 12)",2141.929442242219
1674,"(5, 4, 5)","(1, 0, 0, 12)",2141.937742453817
1698,"(5, 5, 2)","(1, 0, 0, 12)",2142.0004277715634
1354,"(4, 4, 1)","(1, 0, 0, 12)",2142.054565087981
