,pdq,Spdq,aic
1620,"(5, 3, 4)","(1, 1, 0, 12)",1948.3712341408243
730,"(2, 3, 1)","(0, 1, 0, 12)",1948.385944892484
1604,"(5, 3, 2)","(1, 1, 0, 12)",1948.4272766785984
789,"(2, 4, 2)","(1, 1, 0, 12)",1948.5478800019398
695,"(2, 2, 2)","(1, 1, 1, 12)",1948.566396056251
813,"(2, 4, 5)","(1, 1, 0, 12)",1948.6628525473097
1720,"(5, 5, 5)","(0, 1, 0, 12)",1948.6648595425793
1361,"(4, 4, 2)","(0, 1, 1, 12)",1948.6827755499507
458,"(1, 3, 3)","(0, 1, 0, 12)",1948.969814264918
1596,"(5, 3, 1)","(1, 1, 0, 12)",1949.1729912572648
186,"(0, 3, 5)","(0, 1, 0, 12)",1949.2747927594535
466,"(1, 3, 4)","(0, 1, 0, 12)",1949.3124104266208
790,"(2, 4, 2)","(1, 1, 1, 12)",1949.3239542305346
814,"(2, 4, 5)","(1, 1, 1, 12)",1949.409326263581
1608,"(5, 3, 3)","(0, 1, 0, 12)",1949.4198421461558
503,"(1, 4, 2)","(1, 1, 1, 12)",1949.5264606738049
1624,"(5, 3, 5)","(0, 1, 0, 12)",1949.601014094634
738,"(2, 3, 2)","(0, 1, 0, 12)",1949.6224626232256
1364,"(4, 4, 2)","(1, 1, 0, 12)",1949.6491791996593
974,"(3, 2, 1)","(1, 1, 1, 12)",1949.679151186555
499,"(1, 4, 2)","(0, 1, 1, 12)",1949.7241254551134
683,"(2, 2, 1)","(0, 1, 1, 12)",1949.7495396019222
719,"(2, 2, 5)","(1, 1, 1, 12)",1949.831298245938
403,"(1, 2, 2)","(0, 1, 1, 12)",1949.8341569005545
679,"(2, 2, 0)","(1, 1, 1, 12)",1949.867265911896
982,"(3, 2, 2)","(1, 1, 1, 12)",1950.0833702717966
1573,"(5, 2, 4)","(1, 1, 1, 12)",1950.1282783443642
1368,"(4, 4, 3)","(0, 1, 0, 12)",1950.23275771616
99,"(0, 2, 0)","(0, 1, 1, 12)",1950.2467585655797
119,"(0, 2, 2)","(1, 1, 1, 12)",1950.3525989059883
1017,"(3, 3, 1)","(0, 1, 0, 12)",1950.3757602105936
691,"(2, 2, 2)","(0, 1, 1, 12)",1950.5511135063673
502,"(1, 4, 2)","(1, 1, 0, 12)",1950.6169518544325
785,"(2, 4, 2)","(0, 1, 0, 12)",1950.873202029326
415,"(1, 2, 3)","(1, 1, 1, 12)",1950.9594566200562
1672,"(5, 4, 5)","(0, 1, 0, 12)",1951.0009770620807
211,"(0, 4, 2)","(0, 1, 1, 12)",1951.0125754425083
1429,"(4, 5, 4)","(1, 1, 1, 12)",1951.0463997149961
102,"(0, 2, 0)","(1, 1, 0, 12)",1951.0763224279538
431,"(1, 2, 5)","(1, 1, 1, 12)",1951.1966659957754
1025,"(3, 3, 2)","(0, 1, 0, 12)",1951.2269411760308
423,"(1, 2, 4)","(1, 1, 1, 12)",1951.232316518048
1304,"(4, 3, 1)","(0, 1, 0, 12)",1951.3089831602879
387,"(1, 2, 0)","(0, 1, 1, 12)",1951.3231173116442
1656,"(5, 4, 3)","(0, 1, 0, 12)",1951.42628458231
107,"(0, 2, 1)","(0, 1, 1, 12)",1951.5653178634916
686,"(2, 2, 1)","(1, 1, 0, 12)",1951.6437926302472
406,"(1, 2, 2)","(1, 1, 0, 12)",1951.7193142181716
970,"(3, 2, 1)","(0, 1, 1, 12)",1951.7475673497668
711,"(2, 2, 4)","(1, 1, 1, 12)",1951.9311705861053
966,"(3, 2, 0)","(1, 1, 1, 12)",1951.9750780633426
1360,"(4, 4, 2)","(0, 1, 0, 12)",1952.0891585746626
978,"(3, 2, 2)","(0, 1, 1, 12)",1952.1000334024488
715,"(2, 2, 5)","(0, 1, 1, 12)",1952.2139587663687
474,"(1, 3, 5)","(0, 1, 0, 12)",1952.283500659758
218,"(0, 4, 3)","(0, 1, 0, 12)",1952.3570948787271
1592,"(5, 3, 1)","(0, 1, 0, 12)",1952.5139756737938
226,"(0, 4, 4)","(0, 1, 0, 12)",1952.5193236748694
135,"(0, 2, 4)","(1, 1, 1, 12)",1952.7504842523347
411,"(1, 2, 3)","(0, 1, 1, 12)",1952.7831126612627
998,"(3, 2, 4)","(1, 1, 1, 12)",1952.789639150186
703,"(2, 2, 3)","(1, 1, 1, 12)",1952.7947847348512
143,"(0, 2, 5)","(1, 1, 1, 12)",1952.8085618535183
1312,"(4, 3, 2)","(0, 1, 0, 12)",1952.8588176926519
1253,"(4, 2, 0)","(1, 1, 1, 12)",1952.9183834842463
761,"(2, 3, 5)","(0, 1, 0, 12)",1952.9345514627432
694,"(2, 2, 2)","(1, 1, 0, 12)",1952.9674961884139
1557,"(5, 2, 2)","(1, 1, 1, 12)",1952.971961262493
127,"(0, 2, 3)","(1, 1, 1, 12)",1953.0112124423672
